id,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,created_at,difficulty
363b246d-0966-48dd-b634-b3bc8e8add69,"Jean Batten, who was the first person to fly between England and New Zealand solo, and Ynes Mexia, who was the first to discover the botanical genus Mexianthus, are ensuring lasting places in our historical memory. No matter what others may do in the future, nobody can ever ______ the standing of these women as the first to accomplish these feats.",undermine,imply,extend,promote,A,"The sentence emphasizes that these women’s achievements are permanent and cannot be diminished by future accomplishments. Undermine means to weaken or reduce the significance of something, making it the best fit. Other options do not fit logically:
• Imply means to suggest something indirectly, which does not match the sentence’s meaning.
• Extend means to make something longer, which does not apply to historical recognition.
• Promote means to support or encourage, which is the opposite of the intended meaning.",2025-06-24 03:58:33.203488+00,
3721d803-0c08-4e90-9fe5-3cd7cb3516ca,"Water boils at around 212°F at sea level, but in Questa, New Mexico (elevation: 7,461 feet above sea level), it boils at around 198°F. Food writer J. Kenji López-Alt, who explores the science behind cooking, ______ that lower boiling points at higher elevations 'can wreak all sorts of havoc on recipes.",explains,are explaining,explain,have explained,A,"1. A) explains:  \n   - This is the correct choice. Explains is in the present tense and agrees with the singular noun Food writer J. Kenji López-Alt, who is the subject of the clause.\n\n2. B) are explaining:  \n   - Incorrect because are explaining is a present continuous tense, which would require a plural subject. J. Kenji López-Alt is singular.\n\n3. C) explain:  \n   - Incorrect because explain is in the present tense, but it also requires a plural subject. J. Kenji López-Alt is singular.\n\n4. D) have explained:  \n   - Incorrect because have explained is in the present perfect tense and would require a plural subject.\n\nCorrect Answer:\nA) explains  \nThis choice correctly completes the sentence by using the correct verb form to match the singular subject.",2025-06-24 04:08:28.170764+00,
37c3bc3c-fc9d-48e7-b213-5f4c755c0ab9,"The following text is adapted from a travel memoir written by a Turkish author sailing down the Kızılırmak River—the longest river entirely within Turkey—from its source in Eastern Anatolia to its mouth at the Black Sea. I sat near the bow of the boat, gazing at the rocky cliffs and small villages carved into the hills of Sivas. As we moved past the last bend near Kırıkkale, the landscape began to change. The sharp, jagged rocks gave way to wide plains, golden wheat fields, and tranquil stretches of water. The river, once rushing and narrow between the highlands, now seemed to exhale, moving slowly and peacefully across the Anatolian heartland, as if it had remembered a more ancient, calmer rhythm. Based on the text, which choice best expresses the narrator’s characterization of the Kızılırmak River?",The Kızılırmak River maintains its rapid flow throughout its journey from the mountains to the plains.,The author sees the Kızılırmak as a symbol of Turkey’s technological and urban progress.,The river’s transition from rugged highlands to calm plains mirroring the character’s tranquility,The river becomes increasingly narrow portrays an image of seclusion and alienation,C,"The narrator describes how the river changes character—from rough and fast in the mountains to calm and slow in the plains. This matches choice C, which reflects both the literal and symbolic shift described in the passage.
 A is incorrect because the river becomes calm, not continuously rapid.
 B is irrelevant; no mention of technology or urban progress is made.
 D is the opposite of the text’s message—the river becomes wider and calmer, not narrower or more forceful.",2025-06-24 04:46:51.280137+00,
381ed22f-c510-464f-a3c5-4c5a40092f45,"Archaeologists have identified a large number of beads made from Tritia gibbosula shells at several Middle Stone Age (MSA) sites in western Anatolia, including excavations near Karain Cave. In a 2021 paper, Dr. Ebru Yalçın and her team attribute these artifacts ___ to both the evolution and spread of symbolic behavior (e.g., use of personal ornaments) in early humans and the abundant presence of T. gibbosula during the MSA. Which choice completes the text with the most logical and precise word or phrase?",fecundity,heterogeneity,expediency,ubiquity,D,"The word ""ubiquity"" means the state of being everywhere or being very common, which fits the context of the sentence as it describes the abundant presence of T. gibbosula shells during the Middle Stone Age.",2025-06-24 04:46:51.280137+00,
396123d5-0a73-42c1-bbe2-d4b364f98ae7,The following text is from Langston Hughes’ 1926 poem The Weary Blues. Droning a drowsy syncopated tune Rocking back and forth to a mellow croon I heard a Negro play woefully  Down on Lenox Avenue the other night By the pale dull pallor of an old gas light He did a lazy sway He did a lazy sway To the tune of those Weary Blues Which choice best states the main purpose of the text?,To convey the emotional release the speaker experiences through music,To highlight the melancholic nature of the musician’s performance,To emphasize the impact of the setting on the performance’s atmosphere,To illustrate the speaker’s admiration for the musician’s talent,B,"The poem describes a man playing a slow, sad song on the piano on a quiet night. The music he plays has a tired, mournful feeling. In simpler words, it’s like saying, The man swayed back and forth, playing a slow, sad tune in the dim light, and it felt peaceful but deeply emotional. The correct answer is B because the poem focuses on the sadness and weariness of the music.",2025-06-24 04:46:51.280137+00,
399634cc-11a6-448d-aeb8-728a212d6369,"The installations of contemporary artist Mara Velasquez derive their striking visual impact in part from the tension among her _____ influences: minimalist architecture, which favors spare compositions and neutral palettes; psychedelic art, with its kaleidoscopic patterns and vibrant hues; and indigenous textile design, which emphasizes intricate symmetry and symbolic motif. The resulting body of work evokes a paradoxical and contrasting sense of both chaos and order, rigidity and flow. Which choice completes the text with the most logical and precise word or phrase?",collaborative,indistinct,disparate,harmonious,C,"Correct Answer: C
Choice C is the best answer because it most precisely and logically completes the sentence. The phrase “tension among her _____ influences” suggests that the styles influencing Velasquez’s work are markedly different from one another. The passage lists influences that vary greatly in form and intent: minimalist architecture (neutral and sparse), psychedelic art (bold and chaotic), and indigenous textiles (intricate and symbolic). The word disparate, meaning “essentially different in kind,” accurately captures the contrast among these styles and supports the idea of a “paradoxical sense” in her work.
Choice A, collaborative, incorrectly implies that the styles worked together toward a shared goal, which doesn’t match the idea of visual tension.
Choice B, indistinct, contradicts the clearly described characteristics of each influence.
Choice D, harmonious, suggests smooth unity, which is the opposite of the tension the sentence emphasizes.",2025-06-24 04:46:51.280137+00,
3a66eb61-9858-44bd-9b54-6cc2e3f662b8,"Mexican artist Diego Rivera’s murals, painted throughout the early 20th century, are often interpreted as political statements because Rivera was an outspoken Marxist. However, art historians caution against interpreting his works exclusively through a political lens. Doing so ignores their artistic complexity and cultural symbolism. Scholars who fail to consider this perspective therefore _____ Which choice most logically completes the text?",risk evaluating Rivera’s murals by standards that may reduce them to political propaganda.,tend to conflate Rivera’s artistic influences with his political affiliations.,forgo understanding the broader cultural themes in favor of focusing on Rivera’s ideology.,assume Rivera’s artistic goals were aligned with the views of his contemporaries.,A,"Option A is correct because it logically concludes the sentence and matches the warning given in the text: scholars risk making an error in judgment by reducing Rivera’s art to mere politics.
 Conflate (B) means to mistakenly blend two things into one, such as mixing artistic and political intentions.
 Forgo (C) means to give something up—here, it would mean overlooking artistic meaning.
 Both are plausible words, but only risk completes the sentence in a way that clearly echoes the caution emphasized by the passage.",2025-06-24 04:46:51.280137+00,
3ac2ae74-dc35-4962-a3c1-15140a08b69e,"The global positioning system (GPS) operates with remarkable precision, but adjustments must be made to maintain accuracy. Specifically, a timing correction (synchronized with a master atomic reference) _____ the satellite’s internal clock drifts out of sync with Earth-based timekeeping systems. Which choice completes the text so that it conforms to the conventions of Standard English?",begins; whenever,"begins, whenever",begins. Whenever,begins whenever,D,"Choice D is the best answer because “begins” is a verb immediately followed by the preposition “whenever.” According to standard English conventions, no punctuation is needed between a verb and the dependent clause it introduces when it begins with a preposition like “whenever.”
 A is incorrect because the semicolon separates a verb and a dependent clause, which is grammatically inappropriate.
 B incorrectly uses a comma to separate the verb from its dependent clause.
 C uses a period that creates a sentence fragment.
 D is correct because it keeps the clause intact and grammatically correct.",2025-06-24 04:46:51.280137+00,
3acfc9ff-3acb-4cfe-a81e-95b837b763d8,"Question 
The following text is an excerpt from an 18th-century poem.
The brook’s laughter filled the glen,
Its waters danced, as if to fend
Off sorrow’s grip, so dark and cold,
With tales of joy, so brightly told.
Feeling so buoyant that I can’t hold.
Which choice best describes the meaning of the word buoyant as used in the passage?",Related to the brook’s cheerful and vibrant nature.,Indicating the brook’s rebellious and defiant attitude.,Suggesting the hidden sorrows beneath the brook’s surface.,Referring to the brook’s indifference to the surrounding nature.,A,"Correct Answer: A) Related to the brook’s cheerful and vibrant nature.
The passage describes the brook’s light, joyful, and energetic movement, suggesting happiness and liveliness. The word buoyant means lighthearted, cheerful, or uplifting, making A the best choice. Other options do not fit:
	•	B suggests defiance, but the brook is described as joyful, not rebellious.
	•	C implies hidden sorrow, which contradicts the brook’s joyful nature.
	•	D suggests indifference, but the brook is actively described as lively and engaging.",2025-06-24 04:23:42.111298+00,
3cbf3e79-2bdb-46da-94ec-25cfef34a5eb,"The Forsaken Castle\n\nIn the heart of the forest, stood a castle grand,\nAbandoned by time, reclaimed by the land.\nIts halls once echoed with laughter and song,\nNow silent and empty, where shadows belong.\n\nA princess lived there, awaiting her knight,\nBut he never arrived, lost in the night.\nThe castle grew cold, and the years crept by,\nThe princess still waits, under the moonlit sky.\n\nWhich choice best describes the main theme of the text?",The enduring hope of a love that never came.,The decay of a once-proud lineage.,The destructive power of time on human endeavors.,The conflict between civilization and nature.,A,"The poem tells the story of a princess who, despite the passing of time and the decay of the castle, continues to wait for her knight. The imagery of the castle growing cold and empty symbolizes the slow death of hope and expectation. Yet, the princess’s continued wait under the moonlight signifies her unyielding belief in the love that never arrived. This perseverance in the face of despair embodies the theme of holding onto hope, even when there is no reason to.\n\nWords Explanation:\n\n1. Enduring: Lasting or persisting over time; not diminishing.\n• Example Sentence: The monument stands as an enduring symbol of peace.\n2. Decay: The process of decline or gradual destruction.\n• Example Sentence: The abandoned house was in a state of decay, its walls crumbling.\n3. Perseverance: Steadfastness in doing something despite difficulty or delay in achieving success.\n• Example Sentence: Her perseverance in overcoming the challenges inspired everyone around her.",2025-06-24 04:13:35.145431+00,
3d3a4a5f-2d3f-47d5-a2bb-76740edd1854,"The process of photosynthesis allows plants to convert sunlight into energy. This energy is stored in the form of glucose, which the plant uses for growth and reproduction. Scientists understand how this __________ the chlorophyll in the plant’s cells absorbs light, initiating a series of reactions that produce glucose.\n\nWhich choice completes the text so that it conforms to the conventions of Standard English?",works. Because,works: because,"works, it’s because",works; because,B,"The correct answer is B because it correctly uses a colon to introduce the reason why the process of photosynthesis works, which is that the chlorophyll in the plant's cells absorbs light.",2025-06-24 04:04:29.013752+00,
3f648fff-8b52-4d5a-bae2-8c2b4041ae5a,"The tango is a passionate and rhythmic dance that originated in Argentina and has since become popular worldwide. It is characterized by its sharp movements, close embrace, and dramatic pauses. Most forms of ballroom dancing have strict rules and movements, ___ the tango embraces spontaneity and improvisation to create a unique and intense connection between partners.\n\nWhich choice completes the text with the most logical and precise word or phrase?","Of course,",In fact,Granted,"In contrast,",D,"Explanation:\nThe correct answer is D. In contrast. This phrase suggests an assumption that the reader already understands the tango’s distinct qualities, reinforcing its contrast with the more rigid structure of other ballroom dances. Similarly (B) would imply that the tango is like other ballroom dances, which is inaccurate here. Nonetheless (C) and In contrast (D) imply contrasting ideas that don’t fit the context as well as Of course does, as the sentence reaffirms a known characteristic.",2025-06-24 04:37:31.581009+00,
40109e44-45a3-45d7-8e1b-7b8be2dacc25,"Cellular repair mechanisms play a crucial role in maintaining DNA integrity. One such mechanism, base excision repair, removes damaged DNA bases and replaces them with correct ones to prevent mutations. This corrective process ______ genetic instability, unlike alternative repair pathways, offers a precise method for maintaining genome stability. Which choice completes the text so that it conforms to the conventions of standard English?",had prevented,prevented,prevents,preventing,C,"Correct Answer: C) prevents
		The subject is “This corrective process,” which is singular and requires a singular verb.
		The main verb “offers” is in present tense, meaning the missing verb must also be in present tense to maintain consistency.
		A) and B) are incorrect because “had prevented” and “prevented” are past tense, while the sentence requires present tense.
		D) is incorrect because “preventing” would need a helping verb (e.g., “is preventing”), which is missing.",2025-06-24 04:46:51.280137+00,
4017ee78-715e-458e-8898-21366fae2778,"Treasure Island is an 1883 novel by Robert Louis Stevenson. When the narrator was a child, his father ran a hotel. A mysterious sailor came to stay at the hotel. The narrator was frightened of the sailor, as can be seen when the narrator says:\n\nWhich quotation from Treasure Island most effectively illustrates the claim?","How the sailor haunted my dreams, I need scarcely tell you. On stormy nights, when the wind shook the four corners of the house and the surf roared along the cove and up the cliffs, I would see him in a thousand forms, and with a thousand diabolical expressions.","I remember the sailor as if it were yesterday, as he came plodding to the inn door, his sea chest following behind him in a hand-barrow.",The sailor was a very silent man by custom. All day he hung round the cove or upon the cliffs with a brass telescope.,"All the time he lived with us [the sailor] made no change whatever in his dress but to buy some stockings from a hawker. One of the long tails of his hat having fallen down, he let it hang from that day forth, though it was a great annoyance when it blew.",A,Option A is the correct answer because it directly shows the narrator's fear of the sailor. The phrase haunted my dreams and the vivid description of the sailor appearing in a thousand forms with a thousand diabolical expressions convey a sense of fear and terror. The other options do not illustrate the narrator's fear as effectively as option A does.,2025-06-24 04:03:45.002152+00,
41d44092-36d2-447e-a874-55d90afb579e,"Throughout the Aegean region of Türkiye, many towns are known by affectionate or symbolic nicknames passed down through generations. The coastal town of Ayvalık, for instance, is often referred to as “the Olive Capital,” due to its sprawling groves and olive oil traditions that date back centuries. It is also one of several ___ and fishing villages that line the northwestern coastline and contribute to the area’s culinary and cultural heritage. Which choice completes the text so that it conforms to the conventions of Standard English?","towns that line the Aegean coast of Türkiye,",towns that line the Aegean coast of Türkiye,"towns, that line the Aegean coast of Türkiye,","towns that lines the Aegean coast, of Türkiye,",B,"Correct Answer: B) towns that line the Aegean coast of Türkiye
 No comma before “that” (restrictive clause).
 No punctuation after “Türkiye” because the sentence continues.
 “Towns that line” = correct subject-verb agreement.",2025-06-24 04:46:51.280137+00,
420e179c-8ab1-46ba-8e91-b665a8e1bbd4,"The discoverers of the minor planet 1227 Geranium named it after the plant genus that includes cranesbills. Most of the recently discovered minor planets, however, are given only an identification number. Largely due to there being over 500,000 such bodies known at present, which makes the already challenging task of finding a unique name for each nearly ______.
Which word would suit in this context?",feasible,obsolete,untenable,finite,C,"Untenable is the correct choice because it means something that is difficult or impossible to sustain, which aligns with the idea that naming each minor planet uniquely is extremely challenging given their vast numbers.",2025-06-24 03:31:55.040467+00,
42ad642e-ab54-48a8-a0da-0a643d04fe33,"After the printing press was introduced in 1440, handwritten manuscripts from Europe’s medieval period were often destroyed and the paper used for other purposes. In one instance, pages ______ a collection of Norse tales dating to 1270 were discovered lining a bishop’s miter hat.",from—,"from,",from:,from,D,"The preposition ""from"" is needed in this sentence to show the relationship between the pages and the collection of Norse tales. The colon and comma are not necessary in this context.",2025-06-24 03:27:59.878919+00,
46b29ecd-f60a-404c-a814-c8ab600087fa,"Remember: In formal writing (like SAT or academic English), “that” = no comma Fazıl Say, a renowned Turkish pianist and composer whose works are celebrated for their fusion of Western classical traditions and Turkish folk melodies, ______ among the most influential figures in contemporary classical music. His compositions, often inspired by Anatolian culture, have been performed on prestigious stages worldwide. Which choice completes the text so that it conforms to the conventions of Standard English?",have been,are,were,is,D,"“Fazıl Say” is a singular noun. The subject is followed by a non-essential clause (between commas) and then continues with a verb. Therefore, we need a singular verb: is.
All other options incorrectly assume a plural subject.
, and nonrestrictive = use “which” with commas.",2025-06-24 04:46:51.280137+00,
47e95567-ce7f-4f87-af1d-890f8786350c,"Zeynep Tekin, a Turkish ceramicist whose minimalist designs are celebrated for their earthy tones and organic textures, ___ recently featured in several international exhibitions, including the Milan Design Week and the Istanbul Contemporary Art Fair. Which choice completes the text so that it conforms to the conventions of Standard English?",have been,were,are,has been,D,"Correct Answer: D) has been
 The subject is Zeynep Tekin (singular).
 The clause between commas is extra information, not the subject.
 So the verb must match “Zeynep Tekin” — a singular person in present perfect tense.
 “has been” = correct
 “have been,” “are,” “were” = incorrect (either plural or wrong tense)",2025-06-24 04:46:51.280137+00,
47f017cf-c8a3-4779-b580-4428f049f233,"Environmentalists have long criticized artificial turf fields for their potential to trap heat, shed plastic particles, and negatively impact local ecosystems. The bright green surfaces, made from synthetic fibers and rubber infill, clearly don’t resemble natural grass or support the same biodiversity. ____, many schools continue to install artificial turf due to its durability and low maintenance. Still, critics argue that the environmental trade-offs outweigh the convenience.","Granted,","Similarly,","Therefore,","Moreover,",A,"The contrast is subtle: the first two sentences are critical of turf, then the next sentence admits people still install it for practical reasons. “Granted” works perfectly to acknowledge that exception before bringing the criticism back with “Still” in the final sentence. Trap Alert: D) Nevertheless might tempt some, but it doesn’t fit smoothly with the tone of concession like Granted does. B) Similarly makes no sense in a contrast. C) Therefore suggests cause-effect, which doesn’t apply.",2025-06-24 03:54:04.703484+00,
498b8465-b5cd-46dc-91f0-6b8524d79a10,"The discoverers of the minor planet 1227 Geranium named it after the plant genus that includes cranesbills. Most of the recently discovered minor planets, however, are given only an identification number. Largely due to there being over 500,000 such bodies known at present, which makes the already challenging task of finding a unique name for each nearly ______.
Choices:",viable,redundant,substantial,insurmountable,D,Insurmountable means something too difficult to overcome. It fits the idea that naming hundreds of thousands of planets is nearly impossible.,2025-06-24 03:31:55.040467+00,
49e20594-01a7-43d8-a544-f2a96e85bf8e,"In university admissions, one might expect prestigious institutions to prioritize applicants with the highest test scores. However, if admissions data suggest that a student’s extracurricular achievements and leadership experience are stronger indicators of success, a university may place less emphasis on standardized test results. Ultimately, a student’s essays and recommendation letters, not their raw test scores, ______ their chances of acceptance. Which choice completes the text so that it conforms to the conventions of standard English?",determines,has determined,determining,determine,D,"Correct Answer: D) determine
		The main subject is “essays and recommendation letters,” which is plural due to the “and.”
		Since the subject is plural, the verb must also be plural → “determine” is correct.
		A) “determines” is incorrect because it is singular.
		B) “has determined” is incorrect because the sentence discusses a general truth, not a past action.
		C) “determining” is incorrect because it is not a standalone verb.",2025-06-24 04:46:51.280137+00,
49f8b18c-b39e-45ee-841d-df8b894694aa,"Capoeira, a Brazilian martial art that combines elements of dance and acrobatics, has become a globally recognized ______ 1990, the sport was officially added to UNESCO’s list of Intangible Cultural Heritage, cementing its cultural significance worldwide. Which choice completes the text so that it is grammatically correct?",tradition in,"tradition, in",tradition and in,tradition. In,D,"Correct Answer: D) tradition. In
The phrase “Capoeira has become a globally recognized tradition” is a complete sentence.
	The next part “In 1990, the sport was officially added…” is also an independent sentence, meaning it needs to be separated by a period (.) for proper grammar.
	A) and B) are incorrect because they create a run-on sentence.
	C) is incorrect because “and in” is unnecessary.",2025-06-24 04:46:51.280137+00,
4a0b9858-bdb9-47bb-99ca-57075caa5de9,"The disappearance of the giant short-faced bear, once one of the largest carnivores in North America, occurred around 11,000 years ago. Its extinction can likely be _____ several factors, including shifts in climate and competition with smaller, more adaptable species. Which choice completes the text with the most logical meaning?",mistaken for,offset by,linked to,protected from,C,"The sentence discusses possible causes of extinction. The phrase “can likely be _____ several factors” requires a word that indicates connection or association.
 “Linked to” is the best choice because it clearly shows that the extinction was associated with multiple contributing factors.
 “Mistaken for” implies identity confusion, which is illogical here.
 “Offset by” implies balance or compensation, not a cause.
 “Protected from” contradicts the idea of extinction.",2025-06-24 04:46:51.280137+00,
4aa7d838-af06-4be1-bd82-bbf345b52484,"Text 1
In recent decades, coastal towns along Turkey’s western shoreline have experienced increasingly severe erosion, due in part to both climate change and unchecked urban development. Natural sand barriers have been depleted, and rising sea levels, combined with poorly planned construction projects, have aggravated the loss of shoreline. Without proper intervention, many waterfront communities could face irreversible damage within the next two decades.
Text 2
In a 2022 report, oceanographer Elif Kaya and her team outlined a potential solution: strategically placed underwater sand fences and reinforced dune systems can significantly reduce erosion caused by tidal surges and wind exposure. Their modeling showed that these methods, when applied early, can stabilize coastlines and protect vulnerable ecosystems without requiring mass relocation.
Based on the texts, how would Elif Kaya and her team (Text 2) most likely respond to the concerns raised in Text 1?",They would argue that rising sea levels are a natural process that should not be interfered with.,"They would caution against urban development altogether, advocating for the removal of coastal towns.",They would acknowledge the seriousness of erosion and propose engineered barriers as a practical mitigation strategy.,"They would suggest that current shoreline damage is too advanced to be reversed, even with intervention.",C,"Correct Answer: C) They would acknowledge the seriousness of erosion and propose engineered barriers as a practical mitigation strategy.
• Text 1 highlights the aggravation of a natural issue — erosion — worsened by human activity.
• Text 2 clearly offers a solution (sand fences, dunes) and shows it can be effective.
• C is the best match: it reflects the logic and tone of both texts.",2025-06-24 04:28:42.658112+00,
4ae65ce3-8949-4cc2-9283-44dc33daa1d7,"On April 12, 1985, the space shuttle Endeavour launched into space, beginning  the project Space Rover ____ six days and twenty hours, the mission concluded with a safe landing at Kennedy Space Center.",STS-77: it lasted,"STS-77, lasting",STS-77 lasting,STS-77. Lasting,D,"“STS-77” ends the first independent clause. To avoid a run-on, we need a period. The phrase “Lasting six days and twenty hours” then acts as a modifier providing additional detail about the mission. A comma is used after this introductory modifier.",2025-06-24 04:46:51.280137+00,
4af26022-53c5-424a-b0ef-59f590b1d2e3,"Humidity plays a major role in baking, especially in tropical climates where excess moisture can affect the texture of dough. Cookbook author Shirley Corriher, who specializes in the chemistry of food, ______ that adjusting flour measurements can help compensate for this added moisture. Which choice completes the text so that it conforms to the conventions of Standard English?",have explained,are explaining,explain,explains,D,"Correct Answer: D) explains
The subject is “Cookbook author Shirley Corriher”—a singular noun—so the verb must also be singular, making “explains” the correct choice.
A and B use plural verbs incorrectly.
C is plural and doesn’t agree with the singular subject.",2025-06-24 04:46:51.280137+00,
4c504b9c-afb8-4bbc-88a8-c5b0495aeb2c,"In the early 2000s, limited-edition sneaker releases became a global sensation. Brands released few pairs, creating hype. This artificial scarcity, combined with clever marketing, ______ demand, making resellers and secondary markets flourish.",engendered,suppressed,neglected,diminished,A,Engendered means caused or gave rise to. It fits because scarcity caused more demand.,2025-06-24 03:31:55.040467+00,
4ca5454d-9822-405b-8815-4f0b459fa66a,"In 2019, Arter Gallery in Istanbul exhibited the work of Turkish photographer Zeynep Kıvılcım, who aptly describes her photos as “minimalistic but also futuristic.” Which choice completes the text so that it conforms to the conventions of Standard English?","photographer, Zeynep Kıvılcım,","photographer Zeynep Kıvılcım,",photographer; Zeynep Kıvılcım,photographer Zeynep Kıvılcım,A,"In Standard English, when listing a title or occupation before a person's name, it is typically separated by a comma. Therefore, the correct choice is A: photographer, Zeynep Kıvılcım.",2025-06-24 04:46:51.280137+00,
4cb6211b-6c0b-4f11-ba4a-1cca843604c1,"Halide Edib Adıvar’s 1936 novel Sinekli Bakkal contains elements drawn from her own life—there are many parallels between the experiences of the novel’s protagonist, Rabia, and those of Adıvar herself—and as a result, Sinekli Bakkal is regularly described as an autobiographical novel. This characterization can be useful, but it also presents drawbacks in terms of how the work is perceived, given the high value placed on creativity and imagination in literary endeavors. Readers who take this characterization to mean that Adıvar merely fictionalized actual events may conclude that ___ Which choice most logically completes the text?",the real-life inspirations for other characters in Sinekli Bakkal are difficult to confirm.,Sinekli Bakkal is not as worthy of praise as it might have been if it had no basis in fact.,critics disagree about whether Sinekli Bakkal is more original than novels without autobiographical influences.,Adıvar should not have claimed that Sinekli Bakkal is based on real events.,B,The correct answer is B because it suggests that readers may underestimate the creative and imaginative elements of the novel if they believe it is simply a retelling of actual events from the author's life.,2025-06-24 04:46:51.280137+00,
5014f4eb-a6e7-4c37-a164-86b0d3e5d5ba,"Motion capture is one tool digital artists at TaleWorlds Entertainment, a Turkish video game studio, employ while developing visuals for games like Mount & Blade II: Bannerlord. — digital artists use motion capture to digitally capture real-life movements and convert them into 3D game animations. Which choice completes the text with the most logical transition?","Thus,","In addition,","Specifically,","By comparison,",C,"Choice C, ""Specifically,"" is the correct answer because it helps to introduce a specific example or detail that follows, which in this case is how digital artists use motion capture to create animations for games like Mount & Blade II: Bannerlord.",2025-06-24 04:46:51.280137+00,
5164b1ba-163e-4c71-ad1f-efe061adc7f3,"Just as the state of New York has a designated state flower, tree, and bird, it also has a state soil: Honeoye soil. Honeoye is a fitting choice for state soil, in large part because it can be found in abundance across the state. ______, it plays an important role in New York’s agricultural industry and is used to grow a variety of crops, like corn and soybeans.\n\nWhich choice completes the text with the most logical transition?","At that time,","Alternatively,","Conversely,","Moreover,",D,"This choice completes the sentence by logically adding more information about the importance of Honeoye soil in New York. ""Moreover"" adds further information that supports the previous point about the soil's abundance and utility.",2025-06-24 04:06:55.502524+00,
517a1be8-d778-4971-949f-44116c2889ad,"Although he had only recently joined the team, his thoughtful leadership and tireless work ethic made him clearly ___ of the award. His peers agreed that no one else had contributed as much in such a short time.",deserving,reluctant,unaware,ambitious,A,"The phrase “thoughtful leadership and tireless work ethic” shows he earned recognition. “Deserving” is the best word to indicate he merited the award.
• B) Reluctant = unwilling
• C) Unaware = not knowing
• D) Ambitious = having strong desire to succeed (not the point here)",2025-06-24 03:56:13.633722+00,
51f22c3c-f476-4578-8763-7497241571a5,"The Bandırma Offshore Wind Project, located in the Sea of Marmara, produces about 802 megawatts (MW) of electricity per year. England’s Hornsea Project One offshore wind farm, which generates the most power of any single offshore farm, produces 1,218 MW of electricity. Which choice completes the text with the most logical transition?","By comparison,","For instance,","That is,","As a result,",A,"The correct answer is A: By comparison, because it introduces a comparison between the Bandırma Offshore Wind Project and the Hornsea Project One offshore wind farm in terms of their electricity production, making it the most logical transition in this context.",2025-06-24 04:46:51.280137+00,
5248571f-af49-4c57-b503-29476175d673,"The 11th-century manuscript Divanu Lugati’t-Türk, written by Mahmud al-Kashgari, is an extant work: it can still be read. By contrast, the legendary Tarih-i Oğuz Han, no copies of which ______ beyond a few scattered references, is a lost work; it can be accessed only indirectly, through citations in other surviving texts.
Which choice completes the text so that it conforms to the conventions of Standard English?","survive,","having survived,","surviving,","to survive,",B,"“Having survived” correctly fits the sentence structure because it introduces a past action that has an effect on the present—some references remain, but the full text has been lost.",2025-06-24 03:34:03.016411+00,
53c76f7d-f3f0-495c-bbf5-576549c1bf66,"While the greater adjutant can be found in places like the Chao Phraya River in Thailand and the Teknaf Game Reserve in Bangladesh, more than 80 percent of this endangered stork species is found in Assam, India. There, wildlife biologist Dr. Purnima Devi Barman is on the front lines of conservation efforts that—through community involvement and scientific _____ aim to bring adjutants back from near extinction.
Which choice completes the text so that it conforms to the conventions of Standard English?",study,"study,",study:,study—,D,"1. A) study  
   - Incorrect. No punctuation is used after study, which does not fit the sentence structure, as punctuation is required to separate the phrase.

2. B) study,  
   - Incorrect. A comma does not fit here because it does not provide a strong enough separation for the clause that follows.

3. C) study:  
   - Incorrect. A colon is used to introduce a list, explanation, or elaboration, which does not fit the structure here.

4. D) study—  
   - Correct.  A dash is appropriate here as it provides a clear break or emphasis, separating the phrase through community involvement and scientific study from the main clause aim to bring adjutants back from near extinction. This helps to set off additional information or explanation, which is the intended use in this context.",2025-06-24 03:24:36.836709+00,
54ce5c83-dc77-4526-8c9d-acefb23e3ec3,Which of the following best defines the word purge as used in the context of the passage?,To expel air from a closed system.,To clear someone of charges or blame.,To remove or cleanse impurities.,To get rid of something undesirable.,C,"The correct answer is C) To remove or cleanse impurities. The context of the passage focuses on spiritual cleansing, where the term “purge” is associated with the removal of negative thoughts, guilt, and sins.",2025-06-24 04:31:52.459679+00,
56dd1547-ce48-458f-91dc-7135814313b4,"Historians often make bold assertions about the purpose and meaning of ancient artifacts, such as the Venus of Willendorf—a figurine discovered in Austria and believed to be over 25,000 years old—but such conclusions should be approached ______. The lack of concrete evidence makes it difficult to determine the exact role these objects played in prehistoric societies.\n\nWhich choice completes the text with the most logical and precise word or phrase?",passionately,skeptically,nostalgically,generously,B,B) skeptically is the best choice because it logically completes the sentence by indicating that claims about the meaning of ancient artifacts should be treated with caution and doubt due to limited evidence.,2025-06-24 04:05:10.732154+00,
580900b8-9355-41d9-b319-a13e9d321650,"The longer you leave your money in a high-interest savings account, the more wealth will ______ over time, making it a smart option for long-term investors.",dissolve,accrue,diminish,squander,B,"Accrue fits best because the sentence discusses money increasing over time in a savings account.
 Dissolve means to disappear or melt, which doesn’t match the idea of gaining money.
 Diminish means to decrease, which is the opposite of what’s intended.
 Squander means to waste, which also contradicts the sentence’s meaning.",2025-06-24 04:46:51.280137+00,
